"Genotype","Mean","PC1","PC2","ASV","Mean_rank","ASV_rank","GSI"
"IITA-TMS-IBA000070",37.8619117647059,0.906738610128066,-2.28169985509509,2.59554464640244,1,1,2
"TMS14F1306P0020",30.2159176470588,2.40259114246152,0.167249130502175,3.28251673094394,17,2,19
"TMS14F1223P0007",31.1251529411765,2.79726453143719,0.697607465038452,3.88000007226385,13,3,16
"TMS14F1306P0015",29.3402058823529,3.75165230860289,-2.47265205029545,5.68490788644197,21,4,25
"TMS14F1049P0001",23.3511350131337,-2.58223628534639,5.10116979255262,6.19968459904365,35,5,40
"IITA-TMS-IBA30572",25.0539588235294,-4.4950632535285,-2.41547944845819,6.59186167903285,33,6,39
"TMS14F1036P0007",37.4069764705882,3.52726866617684,-4.73540184356726,6.75184649606155,2,7,9
"TMS14F1035P0007",30.6263294117647,1.56590389997952,-6.43625545281643,6.78163242906055,15,8,23
"TMS14F1035P0004",32.2065235294118,2.57797272650686,-8.17246816896009,8.89732720491158,8,9,17
"TMS14F1310P0004",30.5026823529412,-5.63516445771635,-5.10495874340011,9.22936337408428,16,10,26
"TMS14F1224P0004",26.3213575887053,0.514883512093334,-10.6330562774602,10.6562399321863,28,11,39
"TMS13F1461P0002",27.0208,4.28404306514211,9.16408486999219,10.8696596293724,26,12,38
"TMS14F1001P0004",31.5618647058824,1.64184731611044,-10.7906582802766,11.0207531837514,10,13,23
"TMS13F1182P0002",32.0684470588235,3.41227613884703,10.3215458599103,11.3230750021351,9,14,23
"TMS14F1262P0002",33.1567058823529,6.08779730238429,-8.20201796459039,11.6735831925083,5,15,20
"TMS14F1312P0003",26.0334058823529,0.946419863506225,11.9668402383523,12.0363146058886,29,16,45
"IITA-TMS-IBA982101",28.9857470588235,-7.19890995298825,7.02128841936998,12.0740734783023,22,17,39
"TMS14F1303P0012",29.5101823529412,8.77560955443284,-2.19724994183745,12.1739482712803,20,18,38
"TMS14F1194P0002",28.1292882352941,-7.25575491825659,7.50327374734159,12.4223042607741,23,19,42
"TMS14F1120P0003",22.4914823529412,-7.93981605633691,7.73848456611999,13.3135710499403,36,20,56
"TMS14F1195P0005",26.3846705882353,-9.48994957882954,4.25040184241391,13.6284636128444,27,21,48
"TMS13F2207P0001",32.7171470588235,-10.1479147165113,-0.567476556839473,13.8581050846707,6,22,28
"TMS14F1208P0007",29.8237161377504,-2.17135969191927,-13.7861903593016,14.1009541243539,18,23,41
"TMS14F1131P0001",30.8300454300257,-4.37228063801099,-12.8383419737943,14.1567692328202,14,24,38
"IITA-TMS-IBA980581",31.1980176470588,-4.36007878698053,18.2748323278912,19.2187984559347,12,25,37
"TMS14F1022P0006",32.6316176470588,-2.14846840736103,-19.7917208552323,20.0076478773053,7,26,33
"TMS14F1311P0002",25.2328705882353,14.8155117906498,5.61943532184424,20.9817703258312,31,27,58
"TMS14F1291P0011",25.4283758024542,16.0022289408989,3.42936758417017,22.1021631036443,30,28,58
"TMS13F1021P0008",31.4363647058824,-17.2771755077283,0.649080148288034,23.5830471521824,11,29,40
"TMS13F2061P0005",27.6473705882353,-16.648345626522,7.718342150985,23.9915367675056,24,30,54
"TMS14F1285P0017",33.2956705882353,17.7934147006538,3.07606723406758,24.472595573159,4,31,35
"TMS13F1114P0001",25.1864235294118,-17.9664841977681,12.4112985470454,27.4774171319945,32,32,64
"TMS14F1016P0006",34.5471941176471,-8.25868878286734,-26.7755675506899,29.0502075647237,3,33,36
"TMS14F1300P0008",29.8227705882353,-21.0649585388805,9.92613096366123,30.4081302279537,19,34,53
"TMS14F1297P0019",23.4611,28.7197422418928,1.37924185689261,39.2113673373169,34,35,69
"TMEB419",27.4380941176471,28.4894830856475,10.7854532561758,40.3414187623444,25,36,61
