trait,nENV,MEAN,SE
fyld,1,0.552029989,0.016811129
fyld,2,0.685729834,0.014446128
fyld,3,0.77847226,0.008598471
fyld,4,0.820400614,0.006785102
fyld,5,0.858828378,0.006153492
fyld,6,0.887250947,0.004759811
fyld,7,0.90701295,0.003671392
fyld,8,0.927049788,0.002904271
fyld,9,0.938859567,0.002601561
fyld,10,0.94570822,0.002270441
fyld,11,0.956135689,0.001896832
fyld,12,0.965660349,0.001384657
fyld,13,0.971959732,0.001230465
fyld,14,0.979212591,0.000684257
fyld,15,0.985009356,0.000561497
fyld,16,0.99051908,0.000299981
dmc,1,0.661712991,0.01511289
dmc,2,0.790166063,0.009546046
dmc,3,0.862950658,0.006574255
dmc,4,0.895849729,0.005258239
dmc,5,0.920689999,0.004185813
dmc,6,0.937637411,0.003127987
dmc,7,0.95096749,0.002155094
dmc,8,0.959686904,0.002045196
dmc,9,0.968375869,0.001200579
dmc,10,0.97154065,0.001335777
dmc,11,0.978996614,0.001033943
dmc,12,0.98404373,0.000768775
dmc,13,0.987731245,0.00051062
dmc,14,0.991196325,0.000348764
dmc,15,0.99413713,0.000213579
dmc,16,0.996908368,0.000100104
tyld,1,0.654880197,0.021155301
tyld,2,0.746866486,0.017196677
tyld,3,0.845500064,0.008114184
tyld,4,0.876091798,0.00699479
tyld,5,0.907354726,0.005771212
tyld,6,0.92572278,0.003890501
tyld,7,0.940331608,0.002534749
tyld,8,0.955076851,0.001880322
tyld,9,0.963859861,0.001582369
tyld,10,0.969753443,0.001406338
tyld,11,0.974704732,0.00097294
tyld,12,0.980237057,0.000789625
tyld,13,0.983595217,0.000580909
tyld,14,0.987206058,0.000506195
tyld,15,0.989678439,0.000372651
tyld,16,0.992528124,0.00024204
